date,game_pk,game_datetime_utc,pitcher_id,pitcher,opp,is_home,season_k_pct,recent_k_pct,swstr_pct,opp_k_pct,opp_k_source,park_factor,matchup_k_pct,exp_bf,proj_ks_v0,proj_ks_v1,proj_ks_v2,line,over_odds,over_book,under_odds,under_book,n_books,p_over,novig_over,edge,ev_over,ev_under
2026-05-02,822988,2026-05-02T22:10:00Z,643377,Griffin Jax,San Francisco Giants,True,0.232,0.25,0.147,0.218,lineup,1.0,0.249,19.2,5.5,4.49,4.77,2.5,-135,bovada,112,betonlineag,4,0.855,0.546,0.309,0.488,-0.692
2026-05-02,823715,2026-05-02T18:10:00Z,656302,Dylan Cease,Minnesota Twins,False,0.337,0.311,0.173,0.239,lineup,1.01,0.355,24.0,7.52,7.91,8.53,6.5,110,fanduel,300,betrivers,7,0.747,0.472,0.275,0.568,0.013
2026-05-02,824685,2026-05-02T18:20:00Z,684007,Shota Imanaga,Arizona Diamondbacks,True,0.27,0.271,0.161,0.213,lineup,1.0,0.271,23.1,6.23,6.12,6.26,4.5,121,draftkings,125,betmgm,7,0.748,0.563,0.185,0.653,-0.432
2026-05-02,823144,2026-05-03T01:40:00Z,676106,Emerson Hancock,Kansas City Royals,True,0.242,0.204,0.121,0.233,lineup,1.03,0.246,22.2,5.22,4.92,5.46,4.5,115,betmgm,-125,bovada,7,0.636,0.466,0.17,0.368,-0.345
2026-05-02,823308,2026-05-03T00:40:00Z,680732,Sean Burke,San Diego Padres,False,0.18,0.149,0.087,0.218,lineup,1.02,0.167,28.6,3.86,4.67,4.79,3.5,-130,bovada,265,betrivers,7,0.704,0.563,0.141,0.246,0.08
2026-05-02,823308,2026-05-03T00:40:00Z,650633,Michael King,Chicago White Sox,True,0.254,0.246,0.123,0.261,lineup,1.02,0.292,22.5,5.76,6.02,6.58,5.5,-109,betrivers,110,betmgm,7,0.643,0.524,0.119,0.232,-0.25
2026-05-02,823876,2026-05-02T20:10:00Z,691725,Andrew Painter,Miami Marlins,False,0.211,0.184,0.099,0.222,lineup,1.0,0.195,25.1,4.6,4.87,4.89,4.5,125,draftkings,140,betrivers,7,0.54,0.427,0.113,0.215,0.104
2026-05-02,823388,2026-05-02T20:05:00Z,669387,Carmen Mlodzinski,Cincinnati Reds,True,0.263,0.248,0.087,0.219,lineup,1.0,0.221,23.9,5.91,6.75,5.29,4.5,180,betrivers,-108,fanduel,7,0.609,0.503,0.106,0.704,-0.246
2026-05-02,822988,2026-05-02T22:10:00Z,694738,Landen Roupp,Tampa Bay Rays,False,0.27,0.259,0.107,0.219,lineup,1.0,0.239,23.0,6.11,5.19,5.49,4.5,-121,betrivers,110,fanduel,7,0.641,0.54,0.101,0.171,-0.247
2026-05-02,823144,2026-05-03T01:40:00Z,607625,Seth Lugo,Seattle Mariners,False,0.208,0.224,0.101,0.247,lineup,1.03,0.236,24.9,4.93,5.7,5.87,5.5,195,betrivers,-128,draftkings,7,0.533,0.459,0.074,0.572,-0.168
2026-05-02,823554,2026-05-02T17:35:00Z,677960,Ryan Weathers,Baltimore Orioles,True,0.285,0.283,0.127,0.241,lineup,1.0,0.291,23.1,6.54,7.15,6.74,6.5,235,betrivers,-146,draftkings,7,0.51,0.437,0.073,0.71,-0.175
2026-05-02,823067,2026-05-02T23:15:00Z,808963,Roki Sasaki,St. Louis Cardinals,False,0.204,0.204,0.139,0.222,lineup,1.0,0.224,21.6,4.69,4.33,4.84,4.5,106,fanduel,-124,draftkings,7,0.531,0.459,0.072,0.094,-0.153
2026-05-02,822746,2026-05-02T20:05:00Z,690986,Kyle Harrison,Washington Nationals,False,0.292,0.27,0.15,0.229,lineup,1.0,0.291,20.0,6.51,5.65,5.83,5.5,106,betrivers,-125,draftkings,7,0.526,0.459,0.067,0.083,-0.147
2026-05-02,824284,2026-05-02T23:15:00Z,672456,Keider Montero,Texas Rangers,True,0.215,0.215,0.093,0.233,lineup,1.0,0.21,21.4,4.94,5.0,4.5,4.5,126,betonlineag,300,betrivers,7,0.467,0.421,0.046,0.056,1.13
2026-05-02,824771,2026-05-02T20:10:00Z,681293,Spencer Arrighetti,Boston Red Sox,False,0.248,0.248,0.13,0.213,lineup,0.96,0.227,25.2,5.69,6.06,5.74,5.5,225,betrivers,-110,betmgm,7,0.512,0.471,0.041,0.665,-0.069
2026-05-02,823715,2026-05-02T18:10:00Z,687570,Connor Prielipp,Toronto Blue Jays,True,0.268,0.268,0.0,0.194,lineup,1.01,0.233,18.7,6.16,3.93,4.35,3.5,270,betrivers,132,draftkings,7,0.631,0.592,0.039,1.336,-0.144
2026-05-02,823876,2026-05-02T20:10:00Z,676974,Max Meyer,Philadelphia Phillies,True,0.26,0.264,0.144,0.19,lineup,1.0,0.226,22.0,6.01,5.52,4.97,4.5,132,betrivers,121,draftkings,7,0.555,0.561,-0.006,0.287,-0.016
2026-05-02,824685,2026-05-02T18:20:00Z,669194,Ryne Nelson,Chicago Cubs,False,0.196,0.204,0.125,0.219,lineup,1.0,0.209,20.5,4.58,3.73,4.29,4.5,115,draftkings,170,betrivers,7,0.427,0.463,-0.036,-0.082,0.547
2026-05-02,823554,2026-05-02T17:35:00Z,680694,Kyle Bradish,New York Yankees,False,0.223,0.21,0.111,0.241,lineup,1.0,0.234,23.0,5.01,5.25,5.37,5.5,-118,betonlineag,105,betmgm,7,0.448,0.522,-0.074,-0.173,0.132
2026-05-02,825014,2026-05-02T20:05:00Z,677944,Slade Cecconi,Athletics,False,0.171,0.143,0.101,0.195,lineup,1.0,0.15,23.6,3.67,3.74,3.55,3.5,-135,bovada,265,betrivers,7,0.474,0.558,-0.084,-0.176,0.922
2026-05-02,824042,2026-05-03T01:38:00Z,690997,Nolan McLean,Los Angeles Angels,False,0.333,0.327,0.121,0.222,lineup,1.0,0.294,22.5,7.61,8.51,6.62,7.5,120,betmgm,230,betrivers,7,0.345,0.439,-0.094,-0.241,1.162
2026-05-02,824284,2026-05-02T23:15:00Z,677958,Kumar Rocker,Detroit Tigers,False,0.191,0.191,0.118,0.18,lineup,1.0,0.164,23.0,4.4,4.19,3.77,4.5,310,betrivers,114,draftkings,7,0.327,0.425,-0.098,0.339,0.441
2026-05-02,823388,2026-05-02T20:05:00Z,695076,Rhett Lowder,Pittsburgh Pirates,False,0.17,0.155,0.089,0.231,lineup,1.0,0.171,21.9,3.77,3.78,3.76,4.5,120,betmgm,-130,fanduel,7,0.324,0.444,-0.12,-0.288,0.196
2026-05-02,823067,2026-05-02T23:15:00Z,700241,Michael McGreevy,Los Angeles Dodgers,True,0.165,0.151,0.072,0.219,lineup,1.0,0.149,21.2,3.67,3.11,3.15,3.5,-105,betmgm,190,betrivers,7,0.387,0.51,-0.123,-0.245,0.778
2026-05-02,824042,2026-05-03T01:38:00Z,672282,Reid Detmers,New York Mets,True,0.255,0.225,0.14,0.211,team,1.0,0.238,23.7,5.59,5.4,5.64,6.5,110,bovada,140,betrivers,7,0.336,0.463,-0.127,-0.295,0.594
2026-05-02,824365,2026-05-03T00:10:00Z,519242,Chris Sale,Colorado Rockies,False,0.277,0.281,0.127,0.258,lineup,0.92,0.283,22.8,6.41,7.0,6.46,7.5,112,betonlineag,143,betrivers,7,0.321,0.449,-0.128,-0.32,0.651
2026-05-02,822746,2026-05-02T20:05:00Z,656492,Foster Griffin,Milwaukee Brewers,True,0.202,0.183,0.118,0.2,lineup,1.0,0.184,23.6,4.48,4.16,4.35,4.5,155,betrivers,125,bovada,7,0.438,0.566,-0.128,0.118,0.264
2026-05-02,825014,2026-05-02T20:05:00Z,682052,Jacob Lopez,Cleveland Guardians,True,0.158,0.188,0.086,0.19,lineup,1.0,0.143,24.0,3.9,3.77,3.42,4.5,110,fanduel,-125,betmgm,7,0.26,0.449,-0.189,-0.454,0.332
2026-05-02,824771,2026-05-02T20:10:00Z,813349,Connelly Early,Houston Astros,True,0.205,0.189,0.095,0.194,lineup,0.96,0.161,21.8,4.57,3.79,3.52,4.5,190,betrivers,-115,betmgm,7,0.278,0.48,-0.202,-0.195,0.351
2026-05-02,824365,2026-05-03T00:10:00Z,657514,Brennan Bernardino,Atlanta Braves,True,0.224,0.0,0.133,0.22,lineup,0.92,0.213,31.4,5.16,6.13,6.68,,,,,,0,,,,,
